進所日期(是否保留月份?),動物種類,品種,年齡,性別,體型,晶片,絕育,進所原因,個體情況描述,入所後醫療照護,地點,備註(是否考慮保留?),照片
2015/5/22,犬,混種犬,-,公,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040522-1,
2015/5/21,貓,混種貓,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040521-9,
2015/5/21,貓,混種貓,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040521-8,
2015/5/21,貓,混種貓,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040521-7,
2015/5/21,貓,混種貓,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040521-6,
2015/5/21,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040521-1,
2015/5/19,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-7,
2015/5/19,犬,混種犬,-,公,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-6,
2015/5/19,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-5,
2015/5/19,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-4,
2015/5/19,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-3,
2015/5/19,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-2,
2015/5/19,犬,混種犬,-,公,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040519-1,
2015/5/18,犬,混種犬,-,公,大型,-,-,-,-,-,-,捕捉來源：飼主送交;備註：1040518-4 (晶片:158100965375595),
2015/5/18,犬,混種犬,-,公,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040518-3,
2015/5/18,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040518-2,
2015/5/18,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040518-1,
2015/5/16,瑞,雪納瑞,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040516-1,
2015/5/14,犬,混種犬,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040514-2,
2015/5/14,犬,混種犬,-,公,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040514-1,
2015/5/13,犬,混種犬,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040513-2,
2015/5/13,犬,混種犬,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040513-1,
2015/5/11,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040511-6,
2015/5/11,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040511-4,
2015/5/11,犬,混種犬,-,公,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040511-3,
2015/5/8,犬,混種犬,-,母,中型,-,-,-,-,-,-,捕捉來源：飼主送交;備註：1040508-1 (晶片:158100965364494),
2015/5/6,貓,混種貓,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1050506-5,
2015/5/1,犬,混種犬,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040501-1,
2015/4/29,貓,混種貓,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040429-3,
2015/4/29,犬,混種犬,-,公,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040429-2,
2015/4/28,犬,混種犬,-,母,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040428-3,
2015/4/28,犬,混種犬,-,公,小型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040428-2,
2015/4/27,貓,混種貓,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040427-1,
2015/4/23,犬,混種犬,-,母,大型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040423-1,
2015/3/18,貓,混種貓,-,母,中型,-,-,-,-,-,-,捕捉來源：政府捕捉;備註：1040318-2,
