區域編碼,所在地,動物類型(狗/貓/[其他-自行定義]),動物性別(公/母/未知),動物體型(迷你型/小型/中型/大型),動物毛色,動物年紀(幼年/成年),是否有節紮(是/否),尋獲地點或來源,
0529-1D1,台東縣流浪動物收容中心,犬,母,大,虎班,成年,,台東市(民眾送交),
0529-2C7,台東縣流浪動物收容中心,犬,公,大,米,成年,,大武鄉(流浪捕捉),
0529-3貓區,台東縣流浪動物收容中心,貓,,小,黃白,幼,,台東市(民眾送交),
0529-4F3,台東縣流浪動物收容中心,犬,母,小,黑,幼,,成功鎮(流浪捕捉),
0529-5F3,台東縣流浪動物收容中心,犬,母,小,黑,幼,,成功鎮(流浪捕捉),
0529-6F3,台東縣流浪動物收容中心,犬,母,小,棕,幼,,成功鎮(流浪捕捉),
0529-7F3,台東縣流浪動物收容中心,犬,母,小,黑白,幼,,成功鎮(流浪捕捉),
0529-8F4,台東縣流浪動物收容中心,犬,母,小,黑,幼,,成功鎮(流浪捕捉),
0529-9F4,台東縣流浪動物收容中心,犬,母,小,白棕,幼,,成功鎮(流浪捕捉),
0529-10F4,台東縣流浪動物收容中心,犬,母,小,黑白,幼,,成功鎮(流浪捕捉),
0529-11F4,台東縣流浪動物收容中心,犬,母,小,黑,幼,,成功鎮(流浪捕捉),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
