編號,拾獲地點,送交單位,動物類別,品種,年紀,體型,毛色,動物性別,公告時間,晶片號碼,備註
1040309-01,金寧鄉,清潔隊,犬,Mix,幼,小,白,公,03.09-03.20,無,
1040309-02,金寧鄉,清潔隊,犬,Mix,幼,小,黃黑,公,03.09-03.20,無,
1040309-03,金寧鄉,清潔隊,犬,Mix,幼,小,黑,公,03.09-03.20,無,
1040309-04,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,03.09-03.20,無,
1040309-05,金寧鄉,清潔隊,犬,Mix,幼,小,黑,母,03.09-03.20,無,
1040309-06,金城鎮,清潔隊,犬,Mix,幼,中,黃黑,母,03.09-03.20,無,
1040309-07,金城鎮,清潔隊,犬,Mix,幼,中,黃黑,母,03.09-03.20,無,
1040309-08,金城鎮,清潔隊,犬,Mix,幼,中,黑黃,母,03.09-03.20,無,
1040309-09,金湖鎮,清潔隊,犬,Mix,成,大,黑,公,03.09-03.20,無,
1040309-10,金湖鎮,清潔隊,犬,Mix,成,中,黑,公,03.09-03.20,無,綠帆布頸圈
1040309-C1,金湖鎮,清潔隊,貓,Mix,成,中,黃虎斑白,公,03.09-03.20,無,
1040309-C2,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,公,03.09-03.20,無,
1040309-C3,金湖鎮,清潔隊,貓,Mix,成,中,褐虎斑,母,03.09-03.20,無,
